id,ch_prob,churn_probability
69999,0.0,0
70000,0.0,0
70001,1.7098561039281548e-256,0
70002,0.0,0
70003,1.786961883902277e-47,0
70004,0.0,0
70005,0.0,0
70006,0.0,0
70007,1.7325167616756958e-43,0
70008,5.248490042183611e-270,0
70009,0.0,0
70010,0.0,0
70011,1.8971704678200812e-284,0
70012,0.0,0
70013,0.0,0
70014,8.05701659949617e-247,0
70015,0.0,0
70016,1.430996485574011e-175,0
70017,0.0,0
70018,0.0,0
70019,0.0,0
70020,1.0,1
70021,0.0,0
70022,0.0,0
70023,2.3852726635655783e-288,0
70024,0.0,0
70025,6.185381476083485e-183,0
70026,0.0,0
70027,0.0,0
70028,0.0,0
70029,0.0,0
70030,0.0,0
70031,0.0,0
70032,9.701840282601118e-82,0
70033,0.0,0
70034,0.0,0
70035,1.7144050691229854e-215,0
70036,2.9707393281105065e-256,0
70037,0.0,0
70038,0.0,0
70039,0.0,0
70040,0.0,0
70041,1.0,1
70042,0.0,0
70043,0.0,0
70044,1.0,1
70045,1.0,1
70046,0.0,0
70047,0.0,0
70048,0.0,0
70049,1.0,1
70050,0.0,0
70051,3.605488799202149e-116,0
70052,1.0,1
70053,0.0,0
70054,0.0,0
70055,5.196909773684474e-258,0
70056,0.0,0
70057,8.954823730252977e-207,0
70058,0.0,0
70059,0.0,0
70060,0.0,0
70061,1.7448486573372818e-222,0
70062,1.0,1
70063,0.0,0
70064,0.0,0
70065,0.0,0
70066,0.0,0
70067,0.0,0
70068,0.0,0
70069,0.0,0
70070,0.0,0
70071,0.0,0
70072,0.0,0
70073,0.0,0
70074,0.0,0
70075,0.0,0
70076,0.0,0
70077,5.996752939725668e-271,0
70078,0.0,0
70079,0.0,0
70080,8.260290044597369e-302,0
70081,1.1292378169494229e-290,0
70082,0.0,0
70083,0.0,0
70084,1.981148828768911e-71,0
70085,1.2434281088298292e-176,0
70086,0.0,0
70087,0.0,0
70088,2.6727864627836087e-267,0
70089,0.0,0
70090,1.0,1
70091,0.0,0
70092,0.0,0
70093,0.0,0
70094,0.0,0
70095,1.0859816767468e-238,0
70096,0.0,0
70097,0.0,0
70098,0.0,0
70099,0.0,0
70100,0.0,0
70101,0.0,0
70102,0.0,0
70103,0.0,0
70104,0.0,0
70105,0.0,0
70106,0.0,0
70107,0.0,0
70108,0.0,0
70109,0.0,0
70110,0.0,0
70111,1.0,1
70112,0.0,0
70113,0.0,0
70114,0.0,0
70115,0.0,0
70116,7.89509828422906e-211,0
70117,0.0,0
70118,1.0,1
70119,0.0,0
70120,0.0,0
70121,1.7204705646691147e-18,0
70122,0.0,0
70123,0.0,0
70124,0.0,0
70125,0.0,0
70126,0.0,0
70127,2.4841955093882597e-35,0
70128,0.0,0
70129,0.0,0
70130,1.3187300781365858e-157,0
70131,0.0,0
70132,0.0,0
70133,0.0,0
70134,0.0,0
70135,0.0,0
70136,0.0,0
70137,0.0,0
70138,0.0,0
70139,0.0,0
70140,1.2230356798740776e-188,0
70141,0.0,0
70142,0.0,0
70143,0.0,0
70144,0.0,0
70145,0.0,0
70146,0.0,0
70147,1.1656230168157046e-150,0
70148,2.1795797837903256e-287,0
70149,0.0,0
70150,4.2062521931584995e-256,0
70151,0.0,0
70152,0.0,0
70153,0.9987922538547165,1
70154,0.0,0
70155,0.0,0
70156,0.0,0
70157,0.0,0
70158,0.0,0
70159,0.0,0
70160,0.0,0
70161,0.0,0
70162,0.0,0
70163,1.5503856705228877e-222,0
70164,0.0,0
70165,0.0,0
70166,0.0,0
70167,0.0,0
70168,0.0,0
70169,0.0,0
70170,0.0,0
70171,0.0,0
70172,6.824272370242065e-151,0
70173,0.0,0
70174,0.0,0
70175,0.0,0
70176,0.0,0
70177,0.0,0
70178,0.0,0
70179,0.0,0
70180,1.0,1
70181,0.0,0
70182,0.0,0
70183,0.0,0
70184,0.0,0
70185,0.0,0
70186,0.0,0
70187,0.0,0
70188,0.0,0
70189,0.0,0
70190,0.0,0
70191,0.0,0
70192,0.0,0
70193,0.0,0
70194,1.4150120943869025e-293,0
70195,1.1787037822347718e-263,0
70196,0.0,0
70197,0.0,0
70198,0.0,0
70199,0.0,0
70200,0.0,0
70201,0.0,0
70202,1.415517171825149e-207,0
70203,4.111657470251236e-81,0
70204,0.0,0
70205,0.0,0
70206,0.0,0
70207,0.0,0
70208,1.0,1
70209,0.0,0
70210,0.0,0
70211,0.0,0
70212,0.0,0
70213,0.0,0
70214,0.0,0
70215,0.0,0
70216,0.0,0
70217,0.0,0
70218,0.0,0
70219,0.0,0
70220,2.1791335618134889e-47,0
70221,1.0,1
70222,1.0,1
70223,1.1590192165788286e-233,0
70224,0.0,0
70225,3.5711486072818157e-118,0
70226,6.509817813057938e-88,0
70227,0.0,0
70228,0.0,0
70229,2.7286691687696722e-210,0
70230,0.0,0
70231,0.0,0
70232,0.0,0
70233,0.0,0
70234,3.6962212151388834e-184,0
70235,0.0,0
70236,0.0,0
70237,0.0,0
70238,1.0,1
70239,0.0,0
70240,0.0,0
70241,0.0,0
70242,0.0,0
70243,1.0516330552924682e-196,0
70244,1.0,1
70245,0.0,0
70246,0.0,0
70247,4.063986188396728e-195,0
70248,0.0,0
70249,0.0,0
70250,1.0,1
70251,1.9752393505734785e-247,0
70252,0.0,0
70253,0.0,0
70254,7.388961202401096e-09,0
70255,0.0,0
70256,0.0,0
70257,0.0,0
70258,0.0,0
70259,0.0,0
70260,0.0,0
70261,0.0,0
70262,0.0,0
70263,0.0,0
70264,0.0,0
70265,0.0,0
70266,0.0,0
70267,0.0,0
70268,0.0,0
70269,3.3854040476824318e-99,0
70270,1.0,1
70271,0.0,0
70272,0.0,0
70273,0.0,0
70274,0.0,0
70275,0.0,0
70276,5.462524204310357e-169,0
70277,0.0,0
70278,4.143587330017865e-244,0
70279,0.0,0
70280,0.0,0
70281,0.0,0
70282,1.1995039437036723e-62,0
70283,1.0,1
70284,6.4973483814464e-194,0
70285,4.348319117551195e-142,0
70286,3.406112797795064e-206,0
70287,0.0,0
70288,1.51914910923047e-111,0
70289,3.8468042785688406e-259,0
70290,0.0,0
70291,0.0,0
70292,0.0,0
70293,1.2411532177016141e-185,0
70294,0.0,0
70295,0.0,0
70296,0.0,0
70297,0.0,0
70298,0.0,0
70299,1.2011807753108427e-30,0
70300,1.0,1
70301,0.0,0
70302,5.872441681600729e-272,0
70303,0.0,0
70304,1.0,1
70305,0.0,0
70306,0.0,0
70307,0.0,0
70308,1.0,1
70309,0.0,0
70310,0.0,0
70311,0.0,0
70312,0.0,0
70313,0.0,0
70314,0.0,0
70315,0.0,0
70316,1.1150556646869872e-134,0
70317,1.4409960689195384e-240,0
70318,4.690095488221421e-277,0
70319,0.0,0
70320,0.0,0
70321,0.0,0
70322,0.0,0
70323,0.0,0
70324,0.0,0
70325,0.0,0
70326,1.0,1
70327,0.0,0
70328,1.0,1
70329,0.0,0
70330,1.0,1
70331,0.0,0
70332,0.0,0
70333,0.0,0
70334,0.0,0
70335,0.0,0
70336,0.0,0
70337,0.0,0
70338,2.9890719971025673e-83,0
70339,0.0,0
70340,0.0,0
70341,0.0,0
70342,0.0,0
70343,0.0,0
70344,4.0171392464215614e-244,0
70345,0.0,0
70346,0.0,0
70347,5.782169648477085e-45,0
70348,0.0,0
70349,0.0,0
70350,1.0,1
70351,0.0,0
70352,0.0,0
70353,0.0,0
70354,0.0,0
70355,0.0,0
70356,0.0,0
70357,0.0,0
70358,0.0,0
70359,0.9999903002555203,1
70360,0.0,0
70361,0.0,0
70362,3.7172665700627744e-66,0
70363,0.0,0
70364,0.0,0
70365,7.160938601420166e-232,0
70366,0.0,0
70367,0.0,0
70368,0.0,0
70369,0.0,0
70370,0.0,0
70371,3.9368408547534006e-297,0
70372,0.0,0
70373,0.0,0
70374,0.0,0
70375,0.0,0
70376,0.0,0
70377,0.0,0
70378,0.0,0
70379,0.0,0
70380,0.0,0
70381,0.0,0
70382,1.0,1
70383,1.0,1
70384,0.0,0
70385,0.0,0
70386,0.0,0
70387,0.0,0
70388,0.0,0
70389,0.0,0
70390,0.0,0
70391,3.989629540974873e-214,0
70392,0.0,0
70393,0.0,0
70394,0.0,0
70395,0.0,0
70396,1.0,1
70397,3.995780736328925e-280,0
70398,0.0,0
70399,0.0,0
70400,0.0,0
70401,0.0,0
70402,0.0,0
70403,1.8243198892021562e-220,0
70404,0.0,0
70405,0.0,0
70406,0.0,0
70407,0.0,0
70408,0.0,0
70409,0.0,0
70410,0.0,0
70411,8.600441211111554e-124,0
70412,0.0,0
70413,0.0,0
70414,0.0,0
70415,0.0,0
70416,0.0,0
70417,0.0,0
70418,0.9999996580797789,1
70419,0.0,0
70420,0.0,0
70421,0.0,0
70422,0.0,0
70423,0.0,0
70424,0.0,0
70425,0.0,0
70426,0.0,0
70427,0.0,0
70428,0.0,0
70429,0.0,0
70430,0.0,0
70431,8.365936088924387e-24,0
70432,0.0,0
70433,1.0,1
70434,0.0,0
70435,0.0,0
70436,0.0,0
70437,5.903657175965911e-143,0
70438,0.0,0
70439,0.0,0
70440,9.927422131434606e-96,0
70441,0.0,0
70442,0.0,0
70443,5.871573960458958e-173,0
70444,6.8079762020802e-171,0
70445,0.0,0
70446,0.0,0
70447,0.0,0
70448,3.520459905914253e-199,0
70449,0.0,0
70450,0.0,0
70451,0.0,0
70452,0.0,0
70453,3.290259826353564e-78,0
70454,1.0,1
70455,0.0,0
70456,0.0,0
70457,0.0,0
70458,0.0,0
70459,0.0,0
70460,0.0,0
70461,1.0,1
70462,1.0,1
70463,1.0,1
70464,0.0,0
70465,0.0,0
70466,0.0,0
70467,0.0,0
70468,0.0,0
70469,0.0,0
70470,0.0,0
70471,0.0,0
70472,0.0,0
70473,0.0,0
70474,0.0,0
70475,0.0,0
70476,0.0,0
70477,0.0,0
70478,1.0,1
70479,0.0,0
70480,0.0,0
70481,1.0,1
70482,0.0,0
70483,0.0,0
70484,0.0,0
70485,0.0,0
70486,0.0,0
70487,0.0,0
70488,1.0,1
70489,0.0,0
70490,0.0,0
70491,0.0,0
70492,0.0,0
70493,1.4571038106718074e-177,0
70494,1.5541136756836798e-242,0
70495,0.0,0
70496,0.0,0
70497,6.447978026072177e-187,0
70498,0.0,0
70499,0.0,0
70500,0.0,0
70501,0.0,0
70502,0.0,0
70503,0.0,0
70504,0.0,0
70505,0.0,0
70506,0.0,0
70507,0.0,0
70508,0.0,0
70509,0.0,0
70510,0.0,0
70511,0.0,0
70512,1.0,1
70513,0.0,0
70514,0.0,0
70515,0.0,0
70516,0.0,0
70517,0.0,0
70518,0.0,0
70519,0.0,0
70520,0.0,0
